2014-02-22 17:30:13 Connection error, sleeping 1s...
2014-02-22 18:04:18 Connection error, sleeping 1s...
2014-02-22 18:04:20 Connection error, sleeping 1s...
2014-02-22 18:04:21 Connection error, sleeping 1s...
2014-02-22 18:04:22 Connection error, sleeping 1s...
2014-02-22 18:04:23 Connection error, sleeping 1s...
2014-02-22 18:04:24 Connection error, sleeping 1s...
2014-02-22 18:04:25 Connection error, sleeping 1s...
2014-02-22 18:04:26 Connection error, sleeping 1s...
2014-02-22 18:04:27 Connection error, sleeping 1s...
2014-02-22 18:04:28 Connection error, sleeping 1s...
2014-02-22 18:04:29 Connection error, sleeping 1s...
2014-02-22 18:04:30 Connection error, sleeping 1s...
2014-02-22 18:04:31 Connection error, sleeping 1s...
2014-02-22 18:04:32 Connection error, sleeping 1s...
2014-02-22 18:04:33 Connection error, sleeping 1s...
2014-02-22 18:04:34 Connection error, sleeping 1s...
2014-02-22 18:04:36 Connection error, sleeping 1s...
2014-02-22 18:04:37 Connection error, sleeping 1s...
2014-02-22 18:04:38 Connection error, sleeping 1s...
2014-02-22 18:04:39 Connection error, sleeping 1s...
2014-02-22 18:04:40 Connection error, sleeping 1s...
2014-02-22 18:04:41 Connection error, sleeping 1s...
2014-02-22 18:04:42 Connection error, sleeping 1s...
2014-02-22 18:04:43 Connection error, sleeping 1s...
2014-02-22 18:04:44 Connection error, sleeping 1s...
2014-02-22 18:04:45 Connection error, sleeping 1s...
2014-02-22 18:04:46 Connection error, sleeping 1s...
2014-02-22 18:04:47 Connection error, sleeping 1s...
2014-02-22 18:04:48 Connection error, sleeping 1s...
2014-02-22 18:04:49 Connection error, sleeping 1s...
2014-02-22 18:04:51 Connection error, sleeping 1s...
2014-02-22 18:04:52 Connection error, sleeping 1s...
2014-02-22 18:04:53 Connection error, sleeping 1s...
2014-02-22 18:04:54 Connection error, sleeping 1s...
2014-02-22 18:04:55 Connection error, sleeping 1s...
2014-02-22 18:04:56 Connection error, sleeping 1s...
2014-02-22 18:04:57 Connection error, sleeping 1s...
2014-02-22 18:04:58 Connection error, sleeping 1s...
2014-02-22 18:04:59 Connection error, sleeping 1s...
2014-02-22 18:05:00 Connection error, sleeping 1s...
2014-02-22 18:05:01 Connection error, sleeping 1s...
2014-02-22 18:05:02 Connection error, sleeping 1s...
2014-02-22 18:05:03 Connection error, sleeping 1s...
2014-02-22 18:05:04 Connection error, sleeping 1s...
2014-02-22 18:05:05 Connection error, sleeping 1s...
2014-02-22 18:05:07 Connection error, sleeping 1s...
2014-02-22 18:05:08 Connection error, sleeping 1s...
2014-02-22 18:05:09 Connection error, sleeping 1s...
2014-02-22 18:05:10 Connection error, sleeping 1s...
2014-02-22 18:05:11 Connection error, sleeping 1s...
2014-02-22 18:05:12 Connection error, sleeping 1s...
2014-02-22 18:05:13 Connection error, sleeping 1s...
2014-02-22 18:05:14 Connection error, sleeping 1s...
2014-02-22 18:05:15 Connection error, sleeping 1s...
2014-02-22 18:05:16 Connection error, sleeping 1s...
2014-02-22 18:05:17 Connection error, sleeping 1s...
2014-02-22 18:05:18 Connection error, sleeping 1s...
2014-02-22 18:05:19 Connection error, sleeping 1s...
2014-02-22 18:05:20 Connection error, sleeping 1s...
2014-02-22 18:05:21 Connection error, sleeping 1s...
2014-02-22 18:05:23 Connection error, sleeping 1s...
2014-02-22 18:05:24 Connection error, sleeping 1s...
2014-02-22 18:05:25 Connection error, sleeping 1s...
2014-02-22 18:05:26 Connection error, sleeping 1s...
2014-02-22 18:10:10 Connection error, sleeping 1s...
2014-02-22 18:10:11 Connection error, sleeping 1s...
2014-02-22 18:10:12 Connection error, sleeping 1s...
2014-02-22 18:10:13 Connection error, sleeping 1s...
2014-02-22 18:21:13 Connection error, sleeping 1s...
2014-02-22 18:21:14 Connection error, sleeping 1s...
2014-02-22 18:21:15 Connection error, sleeping 1s...
2014-02-22 18:21:16 Connection error, sleeping 1s...
2014-02-22 18:21:17 Connection error, sleeping 1s...
2014-02-22 18:21:18 Connection error, sleeping 1s...
2014-02-22 18:21:19 Connection error, sleeping 1s...
2014-02-22 18:21:20 Connection error, sleeping 1s...
2014-02-22 18:21:21 Connection error, sleeping 1s...
2014-02-22 18:21:22 Connection error, sleeping 1s...
2014-02-22 18:21:24 Connection error, sleeping 1s...
2014-02-22 18:21:25 Connection error, sleeping 1s...
2014-02-22 18:21:26 Connection error, sleeping 1s...
2014-02-22 18:21:27 Connection error, sleeping 1s...
2014-02-22 18:21:28 Connection error, sleeping 1s...
2014-02-22 18:21:29 Connection error, sleeping 1s...
2014-02-22 18:21:30 Connection error, sleeping 1s...
2014-02-22 18:21:31 Connection error, sleeping 1s...
2014-02-22 18:21:32 Connection error, sleeping 1s...
2014-02-22 18:39:45 Connection error, sleeping 1s...
2014-02-22 18:39:46 Connection error, sleeping 1s...
2014-02-22 18:39:47 Connection error, sleeping 1s...
2014-02-22 18:39:48 Connection error, sleeping 1s...
2014-02-22 18:39:49 Connection error, sleeping 1s...
2014-02-22 18:39:51 Connection error, sleeping 1s...
2014-02-22 18:39:52 Connection error, sleeping 1s...
2014-02-22 18:39:53 Connection error, sleeping 1s...
2014-02-22 18:39:54 Connection error, sleeping 1s...
2014-02-22 18:39:55 Connection error, sleeping 1s...
2014-02-22 18:39:56 Connection error, sleeping 1s...
2014-02-22 18:39:57 Connection error, sleeping 1s...
2014-02-22 18:39:58 Connection error, sleeping 1s...
2014-02-22 18:39:59 Connection error, sleeping 1s...
2014-02-22 18:40:00 Connection error, sleeping 1s...
2014-02-22 18:40:01 Connection error, sleeping 1s...
2014-02-22 18:40:02 Connection error, sleeping 1s...
2014-02-22 18:40:03 Connection error, sleeping 1s...
2014-02-22 18:40:04 Connection error, sleeping 1s...
2014-02-22 18:40:05 Connection error, sleeping 1s...
2014-02-22 18:40:07 Connection error, sleeping 1s...
2014-02-22 18:40:08 Connection error, sleeping 1s...
2014-02-22 18:40:09 Connection error, sleeping 1s...
2014-02-22 18:40:10 Connection error, sleeping 1s...
2014-02-22 18:40:11 Connection error, sleeping 1s...
2014-02-22 18:40:12 Connection error, sleeping 1s...
2014-02-22 18:40:13 Connection error, sleeping 1s...
2014-02-22 18:40:14 Connection error, sleeping 1s...
2014-02-22 18:40:15 Connection error, sleeping 1s...
2014-02-22 18:40:16 Connection error, sleeping 1s...
2014-02-22 18:40:17 Connection error, sleeping 1s...
2014-02-22 18:40:18 Connection error, sleeping 1s...
2014-02-22 18:40:19 Connection error, sleeping 1s...
2014-02-22 18:40:20 Connection error, sleeping 1s...
2014-02-22 18:40:21 Connection error, sleeping 1s...
2014-02-22 18:40:23 Connection error, sleeping 1s...
2014-02-22 18:40:24 Connection error, sleeping 1s...
2014-02-22 18:40:25 Connection error, sleeping 1s...
2014-02-22 18:40:26 Connection error, sleeping 1s...
2014-02-22 18:40:27 Connection error, sleeping 1s...
2014-02-22 18:40:28 Connection error, sleeping 1s...
2014-02-22 18:40:29 Connection error, sleeping 1s...
2014-02-22 18:40:30 Connection error, sleeping 1s...
2014-02-22 18:40:31 Connection error, sleeping 1s...
2014-02-22 18:40:32 Connection error, sleeping 1s...
2014-02-22 18:40:33 Connection error, sleeping 1s...
2014-02-22 18:40:34 Connection error, sleeping 1s...
2014-02-22 18:40:35 Connection error, sleeping 1s...
2014-02-22 18:40:36 Connection error, sleeping 1s...
2014-02-22 18:40:37 Connection error, sleeping 1s...
2014-02-22 18:40:39 Connection error, sleeping 1s...
2014-02-22 18:43:46 Connection error, sleeping 1s...
2014-02-22 18:43:47 Connection error, sleeping 1s...
2014-02-22 18:48:32 Connection error, sleeping 1s...
2014-02-22 18:48:33 Connection error, sleeping 1s...
2014-02-22 18:48:34 Connection error, sleeping 1s...
2014-02-22 18:48:35 Connection error, sleeping 1s...
2014-02-22 18:48:37 Connection error, sleeping 1s...
2014-02-22 18:48:38 Connection error, sleeping 1s...
2014-02-22 18:48:39 Connection error, sleeping 1s...
2014-02-22 18:48:40 Connection error, sleeping 1s...
2014-02-22 18:48:41 Connection error, sleeping 1s...
2014-02-22 18:48:42 Connection error, sleeping 1s...
2014-02-22 18:48:43 Connection error, sleeping 1s...
2014-02-22 18:48:44 Connection error, sleeping 1s...
2014-02-22 18:48:45 Connection error, sleeping 1s...
2014-02-22 18:49:15 Connection error, sleeping 1s...
2014-02-22 18:49:16 Connection error, sleeping 1s...
2014-02-22 18:50:34 Connection error, sleeping 1s...
2014-02-22 18:50:35 Connection error, sleeping 1s...
2014-02-22 19:08:30 Connection error, sleeping 1s...
2014-02-22 19:08:31 Connection error, sleeping 1s...
2014-02-22 19:08:32 Connection error, sleeping 1s...
2014-02-22 19:08:33 Connection error, sleeping 1s...
2014-02-22 19:08:34 Connection error, sleeping 1s...
2014-02-22 19:08:35 Connection error, sleeping 1s...
2014-02-22 19:08:36 Connection error, sleeping 1s...
2014-02-22 19:08:37 Connection error, sleeping 1s...
2014-02-22 19:08:38 Connection error, sleeping 1s...
2014-02-22 19:08:39 Connection error, sleeping 1s...
2014-02-22 19:08:41 Connection error, sleeping 1s...
2014-02-22 19:08:42 Connection error, sleeping 1s...
2014-02-22 19:08:43 Connection error, sleeping 1s...
2014-02-22 19:08:44 Connection error, sleeping 1s...
2014-02-22 19:08:45 Connection error, sleeping 1s...
2014-02-22 19:08:46 Connection error, sleeping 1s...
2014-02-22 19:08:47 Connection error, sleeping 1s...
2014-02-22 19:08:48 Connection error, sleeping 1s...
2014-02-22 19:08:49 Connection error, sleeping 1s...
2014-02-22 19:08:50 Connection error, sleeping 1s...
2014-02-22 19:08:51 Connection error, sleeping 1s...
2014-02-22 19:08:52 Connection error, sleeping 1s...
2014-02-22 19:08:53 Connection error, sleeping 1s...
2014-02-22 19:08:54 Connection error, sleeping 1s...
2014-02-22 19:08:55 Connection error, sleeping 1s...
2014-02-22 19:08:57 Connection error, sleeping 1s...
2014-02-22 19:08:58 Connection error, sleeping 1s...
2014-02-22 19:08:59 Connection error, sleeping 1s...
2014-02-22 19:09:00 Connection error, sleeping 1s...
2014-02-22 19:09:01 Connection error, sleeping 1s...
2014-02-22 19:09:02 Connection error, sleeping 1s...
2014-02-22 19:09:03 Connection error, sleeping 1s...
2014-02-22 19:09:04 Connection error, sleeping 1s...
2014-02-22 19:09:05 Connection error, sleeping 1s...
2014-02-22 19:09:06 Connection error, sleeping 1s...
2014-02-22 19:09:07 Connection error, sleeping 1s...
2014-02-22 19:09:08 Connection error, sleeping 1s...
2014-02-22 19:09:09 Connection error, sleeping 1s...
2014-02-22 19:11:26 Connection error, sleeping 1s...
2014-02-22 19:11:27 Connection error, sleeping 1s...
2014-02-22 19:11:28 Connection error, sleeping 1s...
2014-02-22 19:11:29 Connection error, sleeping 1s...
2014-02-22 19:11:30 Connection error, sleeping 1s...
2014-02-22 19:11:32 Connection error, sleeping 1s...
2014-02-22 19:11:33 Connection error, sleeping 1s...
2014-02-22 19:12:12 Connection error, sleeping 1s...
2014-02-22 19:12:13 Connection error, sleeping 1s...
2014-02-22 19:12:14 Connection error, sleeping 1s...
2014-02-22 19:12:15 Connection error, sleeping 1s...
2014-02-22 19:12:16 Connection error, sleeping 1s...
2014-02-22 19:12:17 Connection error, sleeping 1s...
2014-02-22 19:12:18 Connection error, sleeping 1s...
2014-02-22 19:12:19 Connection error, sleeping 1s...
2014-02-22 19:12:20 Connection error, sleeping 1s...
2014-02-22 19:12:21 Connection error, sleeping 1s...
2014-02-22 19:12:22 Connection error, sleeping 1s...
2014-02-22 19:12:23 Connection error, sleeping 1s...
2014-02-22 19:12:24 Connection error, sleeping 1s...
2014-02-22 19:12:26 Connection error, sleeping 1s...
2014-02-22 19:12:27 Connection error, sleeping 1s...
2014-02-22 19:12:28 Connection error, sleeping 1s...
2014-02-22 19:12:29 Connection error, sleeping 1s...
2014-02-22 19:12:30 Connection error, sleeping 1s...
2014-02-22 19:12:31 Connection error, sleeping 1s...
2014-02-22 19:12:32 Connection error, sleeping 1s...
2014-02-22 19:12:33 Connection error, sleeping 1s...
2014-02-22 19:12:34 Connection error, sleeping 1s...
2014-02-22 19:12:35 Connection error, sleeping 1s...
2014-02-22 19:12:37 Connection error, sleeping 1s...
2014-02-22 19:12:38 Connection error, sleeping 1s...
2014-02-22 19:12:39 Connection error, sleeping 1s...
2014-02-22 19:12:40 Connection error, sleeping 1s...
2014-02-22 19:12:41 Connection error, sleeping 1s...
2014-02-22 19:12:42 Connection error, sleeping 1s...
2014-02-22 19:12:43 Connection error, sleeping 1s...
2014-02-22 19:12:44 Connection error, sleeping 1s...
2014-02-22 19:12:45 Connection error, sleeping 1s...
2014-02-22 19:12:46 Connection error, sleeping 1s...
2014-02-22 19:12:47 Connection error, sleeping 1s...
2014-02-22 19:12:48 Connection error, sleeping 1s...
2014-02-22 19:12:49 Connection error, sleeping 1s...
2014-02-22 19:12:50 Connection error, sleeping 1s...
2014-02-22 19:12:52 Connection error, sleeping 1s...
2014-02-22 19:12:53 Connection error, sleeping 1s...
2014-02-22 19:12:54 Connection error, sleeping 1s...
2014-02-22 19:12:55 Connection error, sleeping 1s...
2014-02-22 19:12:56 Connection error, sleeping 1s...
2014-02-22 19:12:57 Connection error, sleeping 1s...
2014-02-22 19:12:58 Connection error, sleeping 1s...
2014-02-22 19:12:59 Connection error, sleeping 1s...
2014-02-22 19:13:00 Connection error, sleeping 1s...
2014-02-22 19:13:01 Connection error, sleeping 1s...
2014-02-22 19:13:02 Connection error, sleeping 1s...
2014-02-22 19:13:03 Connection error, sleeping 1s...
2014-02-22 19:13:04 Connection error, sleeping 1s...
2014-02-22 19:13:05 Connection error, sleeping 1s...
2014-02-22 19:13:06 Connection error, sleeping 1s...
2014-02-22 19:13:08 Connection error, sleeping 1s...
2014-02-22 19:13:09 Connection error, sleeping 1s...
2014-02-22 19:13:10 Connection error, sleeping 1s...
2014-02-22 19:13:11 Connection error, sleeping 1s...
2014-02-22 19:13:12 Connection error, sleeping 1s...
2014-02-22 19:13:13 Connection error, sleeping 1s...
2014-02-22 19:13:14 Connection error, sleeping 1s...
2014-02-22 19:13:15 Connection error, sleeping 1s...
2014-02-22 19:13:16 Connection error, sleeping 1s...
2014-02-22 19:13:17 Connection error, sleeping 1s...
2014-02-22 19:14:31 Connection error, sleeping 1s...
2014-02-22 19:14:32 Connection error, sleeping 1s...
2014-02-22 21:15:37 Connection error, sleeping 1s...
2014-02-22 21:15:38 Connection error, sleeping 1s...
2014-02-22 21:17:16 Connection error, sleeping 1s...
2014-02-22 21:17:17 Connection error, sleeping 1s...
2014-02-22 21:18:36 Connection error, sleeping 1s...
2014-02-22 21:18:37 Connection error, sleeping 1s...
2014-02-22 21:18:38 Connection error, sleeping 1s...
2014-02-22 21:18:40 Connection error, sleeping 1s...
2014-02-22 21:19:37 Connection error, sleeping 1s...
2014-02-22 21:19:39 Connection error, sleeping 1s...
2014-02-22 21:19:40 Connection error, sleeping 1s...
2014-02-22 21:19:41 Connection error, sleeping 1s...
2014-02-22 21:19:42 Connection error, sleeping 1s...
2014-02-22 21:19:43 Connection error, sleeping 1s...
2014-02-22 21:19:44 Connection error, sleeping 1s...
2014-02-22 21:19:45 Connection error, sleeping 1s...
2014-02-22 21:19:46 Connection error, sleeping 1s...
2014-02-22 21:19:47 Connection error, sleeping 1s...
2014-02-22 21:19:48 Connection error, sleeping 1s...
2014-02-22 21:19:49 Connection error, sleeping 1s...
2014-02-22 21:19:50 Connection error, sleeping 1s...
2014-02-22 21:19:51 Connection error, sleeping 1s...
2014-02-22 21:19:52 Connection error, sleeping 1s...
2014-02-22 21:19:54 Connection error, sleeping 1s...
2014-02-22 21:19:55 Connection error, sleeping 1s...
2014-02-22 21:19:56 Connection error, sleeping 1s...
2014-02-22 21:19:57 Connection error, sleeping 1s...
2014-02-22 21:19:58 Connection error, sleeping 1s...
2014-02-22 21:19:59 Connection error, sleeping 1s...
2014-02-22 21:20:00 Connection error, sleeping 1s...
2014-02-22 21:20:01 Connection error, sleeping 1s...
2014-02-22 21:20:02 Connection error, sleeping 1s...
2014-02-22 21:20:03 Connection error, sleeping 1s...
2014-02-22 21:20:04 Connection error, sleeping 1s...
2014-02-22 21:20:05 Connection error, sleeping 1s...
2014-02-22 21:20:06 Connection error, sleeping 1s...
2014-02-22 21:20:07 Connection error, sleeping 1s...
2014-02-22 21:20:08 Connection error, sleeping 1s...
2014-02-22 21:20:09 Connection error, sleeping 1s...
2014-02-22 21:20:11 Connection error, sleeping 1s...
2014-02-22 21:20:12 Connection error, sleeping 1s...
2014-02-22 21:20:13 Connection error, sleeping 1s...
2014-02-22 21:20:14 Connection error, sleeping 1s...
2014-02-22 21:20:15 Connection error, sleeping 1s...
2014-02-22 21:20:16 Connection error, sleeping 1s...
2014-02-22 21:20:17 Connection error, sleeping 1s...
2014-02-22 21:20:18 Connection error, sleeping 1s...
2014-02-22 21:20:19 Connection error, sleeping 1s...
2014-02-22 21:20:20 Connection error, sleeping 1s...
2014-02-22 21:20:21 Connection error, sleeping 1s...
2014-02-22 21:20:22 Connection error, sleeping 1s...
2014-02-22 21:20:23 Connection error, sleeping 1s...
2014-02-22 21:20:24 Connection error, sleeping 1s...
2014-02-22 21:20:25 Connection error, sleeping 1s...
2014-02-22 21:20:27 Connection error, sleeping 1s...
2014-02-22 21:20:28 Connection error, sleeping 1s...
2014-02-22 21:20:29 Connection error, sleeping 1s...
2014-02-22 21:20:30 Connection error, sleeping 1s...
2014-02-22 21:20:31 Connection error, sleeping 1s...
2014-02-22 21:22:07 Connection error, sleeping 1s...
2014-02-22 21:22:09 Connection error, sleeping 1s...
2014-02-22 21:29:36 Connection error, sleeping 1s...
2014-02-22 21:29:37 Connection error, sleeping 1s...
2014-02-22 21:29:38 Connection error, sleeping 1s...
2014-02-22 21:29:39 Connection error, sleeping 1s...
2014-02-22 21:29:40 Connection error, sleeping 1s...
2014-02-22 21:29:41 Connection error, sleeping 1s...
2014-02-22 21:29:42 Connection error, sleeping 1s...
2014-02-22 21:29:43 Connection error, sleeping 1s...
2014-02-22 21:29:44 Connection error, sleeping 1s...
2014-02-22 21:29:45 Connection error, sleeping 1s...
2014-02-22 21:29:46 Connection error, sleeping 1s...
2014-02-22 21:29:47 Connection error, sleeping 1s...
2014-02-22 21:29:48 Connection error, sleeping 1s...
2014-02-22 21:29:49 Connection error, sleeping 1s...
2014-02-22 21:29:51 Connection error, sleeping 1s...
2014-02-22 21:29:52 Connection error, sleeping 1s...
2014-02-22 21:29:53 Connection error, sleeping 1s...
2014-02-22 21:29:54 Connection error, sleeping 1s...
2014-02-22 21:29:55 Connection error, sleeping 1s...
2014-02-22 21:29:56 Connection error, sleeping 1s...
2014-02-22 21:29:57 Connection error, sleeping 1s...
2014-02-22 21:29:58 Connection error, sleeping 1s...
2014-02-22 21:31:12 Connection error, sleeping 1s...
2014-02-22 21:31:13 Connection error, sleeping 1s...
2014-02-22 21:31:14 Connection error, sleeping 1s...
2014-02-22 21:31:15 Connection error, sleeping 1s...
2014-02-22 21:31:16 Connection error, sleeping 1s...
2014-02-22 21:31:17 Connection error, sleeping 1s...
2014-02-22 21:31:18 Connection error, sleeping 1s...
2014-02-22 21:31:19 Connection error, sleeping 1s...
2014-02-22 21:31:20 Connection error, sleeping 1s...
2014-02-22 21:31:21 Connection error, sleeping 1s...
2014-02-22 21:31:23 Connection error, sleeping 1s...
2014-02-22 21:31:24 Connection error, sleeping 1s...
2014-02-22 21:31:25 Connection error, sleeping 1s...
2014-02-22 21:31:26 Connection error, sleeping 1s...
2014-02-22 21:31:27 Connection error, sleeping 1s...
2014-02-22 21:31:28 Connection error, sleeping 1s...
2014-02-22 21:31:29 Connection error, sleeping 1s...
2014-02-22 21:31:30 Connection error, sleeping 1s...
